timestamp,dx,dy,D,speed,radius,clicks,correct
1619606059085887000,13,1,0.917323,13.0384,0.2,6,3
1619606059095140000,13,1,0.902286,13.0384,0.2,6,3
1619606059101913000,14,2,0.887266,14.1421,0.2,6,3
1619606059110911000,14,2,0.869949,14.1421,0.2,6,3
1619606059118521000,16,3,0.852278,16.2788,0.2,6,3
1619606059126807000,17,4,0.829382,17.4642,0.2,6,3
1619606059134706000,18,3,0.802837,18.2483,0.2,6,3
1619606059141762000,19,4,0.774162,19.4165,0.2,6,3
1619606059150551000,20,4,0.741468,20.3961,0.2,6,3
1619606059158515000,20,4,0.706876,20.3961,0.2,6,3
1619606059166624000,19,4,0.67177,19.4165,0.2,6,3
1619606059177726000,19,5,0.640154,19.6469,0.2,6,3
1619606059181573000,18,5,0.607204,18.6815,0.2,6,3
1619606059189859000,17,4,0.577567,17.4642,0.2,6,3
1619606059199050000,16,4,0.551241,16.4924,0.2,6,3
1619606059207100000,16,4,0.526842,16.4924,0.2,6,3
1619606059214677000,14,3,0.503414,14.3178,0.2,6,3
1619606059221963000,14,3,0.486052,14.3178,0.2,6,3
1619606059231337000,14,3,0.468271,14.3178,0.2,6,3
1619606059238962000,13,3,0.45097,13.3417,0.2,6,3
1619606059246026000,13,3,0.43511,13.3417,0.2,6,3
1619606059253847000,14,4,0.420664,14.5602,0.2,6,3
1619606059262267000,13,4,0.40251,13.6015,0.2,6,3
1619606059271742000,13,3,0.386227,13.3417,0.2,6,3
1619606059277472000,12,3,0.370919,12.3693,0.2,6,3
1619606059287591000,12,3,0.356076,12.3693,0.2,6,3
1619606059294548000,12,4,0.342662,12.6491,0.2,6,3
1619606059302643000,11,4,0.327859,11.7047,0.2,6,3
1619606059311571000,10,4,0.314396,10.7703,0.2,6,3
1619606059319865000,11,4,0.302353,11.7047,0.2,6,3
1619606059327484000,10,4,0.288899,10.7703,0.2,6,3
1619606059334730000,11,4,0.27687,11.7047,0.2,6,3
1619606059342947000,11,4,0.263945,11.7047,0.2,6,3
1619606059349607000,11,5,0.250513,12.083,0.2,6,3
1619606059359450000,11,4,0.235663,11.7047,0.2,6,3
