timestamp,dx,dy,D,speed
1618417007850050000,-34,20,0.839296,39.4462
1618417007858034000,-31,18,0.799156,35.8469
1618417007867200000,-28,17,0.762815,32.7567
1618417007873908000,-25,16,0.729538,29.6816
1618417007882060000,-23,14,0.699291,26.9258
1618417007889889000,-21,12,0.672051,24.1868
1618417007898044000,-19,11,0.647827,21.9545
1618417007906041000,-17,11,0.625868,20.2485
1618417007913885000,-16,10,0.605394,18.868
1618417007921993000,-15,11,0.586435,18.6011
1618417007930547000,-13,11,0.567447,17.0294
1618417007937928000,-13,10,0.549873,16.4012
1618417007945945000,-13,10,0.53309,16.4012
1618417007954249000,-13,9,0.516326,15.8114
1618417007962317000,-12,10,0.500374,15.6205
1618417007970646000,-13,8,0.484335,15.2643
1618417007977827000,-13,10,0.469243,16.4012
1618417007986411000,-12,9,0.452591,15
1618417007994509000,-12,10,0.437437,15.6205
1618417008002113000,-11,9,0.4215,14.2127
1618417008010044000,-10,8,0.407051,12.8062
1618417008018127000,-9,7,0.394089,11.4018
1618417008025833000,-9,8,0.382612,12.0416
1618417008033983000,-8,7,0.370323,10.6301
1618417008041890000,-8,7,0.359508,10.6301
1618417008049956000,-8,6,0.348709,10
1618417008057943000,-8,7,0.338777,10.6301
1618417008065944000,-8,8,0.32802,11.3137
1618417008073840000,-8,9,0.316426,12.0416
1618417008082076000,-9,11,0.303984,14.2127
1618417008090174000,-8,11,0.289241,13.6015
1618417008097894000,-7,11,0.275082,13.0384
1618417008105914000,-8,11,0.261505,13.6015
1618417008114575000,-8,10,0.247347,12.8062
1618417008121932000,-8,10,0.234058,12.8062
1618417008129991000,-8,10,0.220776,12.8062
1618417008137892000,-8,10,0.207501,12.8062
1618417008145936000,-8,9,0.194235,12.0416
1618417008154031000,-7,9,0.181864,11.4018
1618417008161809000,-6,8,0.170058,10
1618417008170149000,-6,8,0.159692,10
1618417008178955000,-6,7,0.149334,9.21954
1618417008186069000,-5,7,0.139885,8.60233
1618417008194547000,-5,6,0.13097,7.81025
1618417008202733000,-4,5,0.122973,6.40312
1618417008209742000,-3,5,0.116406,5.83095
1618417008217782000,-4,5,0.110339,6.40312
1618417008225975000,-4,4,0.103787,5.65685
1618417008234112000,-3,4,0.0981836,5
1618417008242065000,-3,5,0.0930656,5.83095
1618417008250105000,-3,4,0.0870172,5
1618417008258164000,-3,5,0.0819169,5.83095
1618417008266098000,-3,5,0.0758807,5.83095
1618417008274059000,-3,5,0.069851,5.83095
1618417008281965000,-3,4,0.0638297,5
1618417008289980000,-2,4,0.058785,4.47214
1618417008297944000,-3,4,0.0541436,5
1618417008305884000,-2,5,0.0491423,5.38516
1618417008313894000,-3,4,0.0435365,5
