timestamp,dx,dy,D,speed,click
1618417241210296000,-11,9,1.17764,14.2127,0
1618417241218232000,-14,11,1.16285,17.8045,0
1618417241226189000,-16,12,1.14431,20,0
1618417241234285000,-18,15,1.12347,23.4307,0
1618417241242386000,-21,16,1.0991,26.4008,0
1618417241250149000,-23,18,1.0716,29.2062,0
1618417241258325000,-26,20,1.04118,32.8024,0
1618417241266201000,-28,22,1.00702,35.609,0
1618417241274205000,-31,24,0.969933,39.2046,0
1618417241282285000,-34,23,0.929102,41.0488,0
1618417241290257000,-36,22,0.88639,42.19,0
1618417241298300000,-38,22,0.842649,43.909,0
1618417241306395000,-38,22,0.797278,43.909,0
1618417241314325000,-38,22,0.751952,43.909,0
1618417241322255000,-37,22,0.706678,43.0465,0
1618417241330262000,-37,22,0.662278,43.0465,0
1618417241338332000,-35,21,0.61794,40.8167,0
1618417241346941000,-32,19,0.575944,37.2156,0
1618417241354456000,-30,18,0.537756,34.9857,0
1618417241362297000,-26,17,0.501904,31.0644,0
1618417241370409000,-23,16,0.469925,28.0179,0
1618417241378543000,-20,15,0.441001,25,0
1618417241386467000,-16,12,0.415105,20,0
1618417241394246000,-13,9,0.394402,15.8114,0
1618417241402416000,-10,7,0.378132,12.2066,0
1618417241410371000,-9,5,0.365573,10.2956,0
1618417241418248000,-7,4,0.355228,8.06226,0
1618417241426387000,-5,4,0.347117,6.40312,0
1618417241434551000,-4,3,0.340488,5,0
1618417241442221000,-3,2,0.335333,3.60555,0
1618417241450173000,-2,1,0.331654,2.23607,0
1618417241458029000,-2,2,0.329449,2.82843,0
1618417241466440000,-2,1,0.326503,2.23607,0
1618417241474500000,-1,2,0.3243,2.23607,0
1618417241482385000,-2,2,0.322083,2.82843,0
1618417241490564000,-2,2,0.319137,2.82843,0
1618417241498283000,-2,2,0.316191,2.82843,0
1618417241506556000,-3,3,0.313245,4.24264,0
1618417241514736000,-3,4,0.308826,5,0
1618417241522362000,-3,4,0.303665,5,0
1618417241530889000,-3,4,0.298505,5,0
1618417241538060000,-4,4,0.293347,5.65685,0
1618417241546246000,-4,5,0.287455,6.40312,0
1618417241554117000,-6,5,0.280826,7.81025,0
1618417241562405000,-6,5,0.272723,7.81025,0
1618417241570152000,-8,6,0.264623,10,0
1618417241578082000,-9,6,0.254322,10.8167,0
1618417241586105000,-9,6,0.243307,10.8167,0
1618417241594103000,-10,8,0.232317,12.8062,0
1618417241602095000,-11,8,0.219117,13.6015,0
1618417241610108000,-11,9,0.205236,14.2127,0
1618417241618048000,-11,9,0.190614,14.2127,0
1618417241626059000,-11,10,0.176023,14.8661,0
1618417241634073000,-10,10,0.16067,14.1421,0
1618417241642226000,-9,9,0.146003,12.7279,0
1618417241650372000,-9,9,0.132816,12.7279,0
1618417241658153000,-9,9,0.119644,12.7279,0
1618417241665980000,-8,8,0.106493,11.3137,0
1618417241674153000,-7,7,0.0948287,9.89949,0
1618417241681988000,-6,5,0.0846498,7.81025,0
1618417241689972000,-5,5,0.0768184,7.07107,0
1618417241697994000,-4,5,0.0696112,6.40312,0
1618417241705968000,-3,4,0.062984,5,0
1618417241713991000,-2,4,0.0577977,4.47214,0
1618417241722217000,-1,3,0.053157,3.16228,0
1618417241730710000,-1,3,0.049958,3.16228,0
1618417241738005000,0,1,0.0467721,1,0
1618417241746017000,0,1,0.0459088,1,0
1618417241897967000,-1,2,0.045053,2.23607,0
1618417241905892000,-1,2,0.0427511,2.23607,0
1618417241913838000,-2,2,0.0404524,2.82843,0
1618417241922046000,-2,2,0.0375442,2.82843,0
1618417241930013000,-2,1,0.0346425,2.23607,0
1618417241938130000,-2,2,0.0326212,2.82843,0
1618417241945939000,-1,2,0.0297499,2.23607,0
1618417241954034000,-2,2,0.0274298,2.82843,0
1618417241961980000,-2,2,0.0245701,2.82843,0
1618417241969951000,-2,2,0.0217336,2.82843,0
1618417241977934000,-2,2,0.0189306,2.82843,0
1618417241985975000,-1,2,0.0161786,2.23607,0
1618417241994202000,-1,1,0.0138569,1.41421,0
1618417242011069000,0,1,0.012519,1,0
1618417242036320000,0,0,0.0115384,0,1
1618417242090003000,0,0,1.79909,0,0
1618417242098758000,0,-2,1.79909,2,0
1618417242106005000,1,-2,1.79936,2.23607,0
1618417242113992000,1,-2,1.7986,2.23607,0
1618417242122072000,2,-2,1.79785,2.82843,0
1618417242130319000,3,-3,1.79606,4.24264,0
1618417242138192000,4,-3,1.7934,5,0
1618417242146158000,6,-3,1.7897,6.7082,0
1618417242155048000,8,-3,1.78395,8.544,0
1618417242162357000,10,-4,1.77615,10.7703,0
1618417242170203000,13,-5,1.76645,13.9284,0
1618417242178720000,15,-6,1.75384,16.1555,0
1618417242186014000,18,-7,1.73936,19.3132,0
1618417242194248000,20,-8,1.72201,21.5407,0
1618417242202851000,23,-9,1.70284,24.6982,0
1618417242209950000,27,-11,1.68086,29.1548,0
1618417242218181000,29,-12,1.65528,31.3847,0
1618417242226104000,33,-12,1.62802,35.1141,0
1618417242234339000,35,-11,1.59689,36.6879,0
1618417242242011000,40,-11,1.56374,41.4849,0
1618417242250119000,42,-10,1.52576,43.1741,0
1618417242257985000,43,-6,1.48578,43.4166,0
1618417242266047000,43,-3,1.44402,43.1045,0
1618417242273977000,44,-2,1.40163,44.0454,0
1618417242282030000,44,-1,1.3581,44.0114,0
1618417242290714000,43,0,1.31444,43,0
1618417242297930000,43,0,1.27162,43,0
1618417242305932000,45,1,1.22893,45.0111,0
1618417242313898000,44,5,1.18409,44.2832,0
1618417242321895000,44,8,1.13904,44.7214,0
1618417242329902000,44,9,1.09302,44.911,0
1618417242337871000,41,9,1.0467,41.9762,0
1618417242345835000,39,8,1.00336,39.8121,0
1618417242353842000,38,8,0.962373,38.833,0
1618417242361811000,37,8,0.9224,37.855,0
1618417242369849000,37,7,0.88344,37.6563,0
1618417242377852000,37,7,0.844909,37.6563,0
1618417242385845000,37,8,0.806446,37.855,0
1618417242393864000,37,7,0.767656,37.6563,0
1618417242401834000,36,7,0.729348,36.6742,0
1618417242410115000,37,8,0.692093,37.855,0
1618417242417797000,35,7,0.653565,35.6931,0
1618417242425901000,34,7,0.61748,34.7131,0
1618417242433848000,32,6,0.582465,32.5576,0
1618417242441891000,32,6,0.549928,32.5576,0
1618417242449934000,30,8,0.517567,31.0483,0
1618417242457798000,28,7,0.486199,28.8617,0
1618417242465876000,27,9,0.457291,28.4605,0
1618417242473810000,24,9,0.428342,25.632,0
1618417242481837000,23,9,0.402143,24.6982,0
1618417242489904000,22,8,0.376889,23.4094,0
1618417242497872000,21,8,0.353148,22.4722,0
1618417242505799000,19,8,0.330358,20.6155,0
1618417242513812000,18,7,0.309359,19.3132,0
1618417242521811000,16,7,0.289887,17.4642,0
1618417242529923000,15,6,0.272166,16.1555,0
1618417242537892000,13,5,0.255975,13.9284,0
1618417242545986000,12,5,0.242144,13,0
1618417242553834000,11,4,0.229194,11.7047,0
1618417242561893000,9,3,0.217785,9.48683,0
1618417242569898000,8,3,0.208708,8.544,0
1618417242577910000,7,2,0.200465,7.28011,0
1618417242585895000,7,3,0.193754,7.61577,0
1618417242593839000,7,2,0.186371,7.28011,0
1618417242601836000,6,3,0.179786,6.7082,0
1618417242609954000,5,2,0.173223,5.38516,0
1618417242617945000,5,2,0.168167,5.38516,0
1618417242625807000,4,2,0.163146,4.47214,0
1618417242634028000,4,2,0.158842,4.47214,0
1618417242641860000,4,2,0.154558,4.47214,0
1618417242649853000,4,3,0.150296,5,0
1618417242657960000,4,3,0.145245,5,0
1618417242665863000,6,3,0.140205,6.7082,0
1618417242673860000,7,4,0.133915,8.06226,0
1618417242681858000,8,5,0.126245,9.43398,0
1618417242689846000,9,5,0.117229,10.2956,0
1618417242697843000,9,5,0.107813,10.2956,0
1618417242705827000,9,5,0.0986658,10.2956,0
1618417242713997000,8,6,0.0898675,10,0
1618417242721926000,8,5,0.0809118,9.43398,0
1618417242730038000,8,5,0.0733496,9.43398,0
1618417242737882000,7,5,0.0663833,8.60233,0
1618417242745852000,7,5,0.0602887,8.60233,0
1618417242753845000,6,4,0.0549846,7.2111,0
1618417242762068000,5,5,0.0515476,7.07107,0
1618417242770073000,4,4,0.0477191,5.65685,0
1618417242777863000,3,4,0.0452902,5,0
1618417242785868000,2,4,0.0429969,4.47214,0
1618417242793837000,2,4,0.0406227,4.47214,0
1618417242801826000,1,3,0.0386662,3.16228,0
1618417242809871000,1,4,0.0371358,4.12311,0
1618417242817848000,1,3,0.0351954,3.16228,0
1618417242825911000,0,2,0.0342435,2,0
1618417242833813000,0,3,0.0331672,3,0
1618417242841828000,0,2,0.0317412,2,0
1618417242849889000,0,2,0.0309298,2,0
1618417242857821000,0,3,0.0302404,3,0
1618417242865855000,0,2,0.0294533,2,0
1618417242873864000,0,2,0.0291037,2,0
1618417242881817000,0,2,0.0289004,2,0
1618417242890033000,0,1,0.0288466,1,0
1618417242897921000,0,1,0.028876,1,0
1618417242913833000,0,1,0.028943,1,0
1618417242921972000,-1,2,0.0290471,2.23607,0
1618417242930039000,-2,1,0.0283429,2.23607,0
1618417242937856000,-4,1,0.0265398,4.12311,0
1618417242945944000,-4,1,0.0228497,4.12311,0
1618417242953906000,-5,1,0.0194101,5.09902,0
1618417242961881000,-5,2,0.0155509,5.38516,0
1618417242969860000,-5,2,0.0136649,5.38516,0
1618417242977795000,-5,2,0.0139487,5.38516,0
1618417242985788000,-5,2,0.0162891,5.38516,0
1618417242993867000,-4,1,0.019976,4.12311,0
1618417243001812000,-3,2,0.022959,3.60555,0
1618417243009899000,-2,1,0.026471,2.23607,0
1618417243017858000,-1,1,0.0285762,1.41421,0
1618417243034041000,0,0,0.030042,0,1
1618417243106046000,0,0,0.912313,0,0
1618417243137976000,-1,-1,0.912313,1.41421,0
1618417243145928000,0,-1,0.910854,1,0
1618417243153923000,-1,-4,0.910229,4.12311,0
1618417243161913000,-1,-4,0.906899,4.12311,0
1618417243170073000,-1,-5,0.903577,5.09902,0
1618417243177980000,-1,-6,0.899647,6.08276,0
1618417243185948000,-2,-7,0.895118,7.28011,0
1618417243193930000,-3,-8,0.889157,8.544,0
1618417243201955000,-4,-10,0.881768,10.7703,0
1618417243210215000,-6,-12,0.872358,13.4164,0
1618417243218018000,-8,-13,0.860094,15.2643,0
1618417243226177000,-11,-13,0.845574,17.0294,0
1618417243234025000,-14,-14,0.828505,19.799,0
1618417243242155000,-17,-14,0.808284,22.0227,0
1618417243250210000,-19,-15,0.785472,24.2074,0
1618417243258111000,-21,-16,0.760353,26.4008,0
